"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","Distributor Link 1","Distributor Link 2","Distributor Link 3"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","",""
"C1,C3,C5,C6,C7,C8,C10,C12,C13","9","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"C2","1","470u","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","",""
"C4,C9,C11","3","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"D1,D2,D3","3","1N4007","","","","Diode_SMD:D_SOD-323","https://www.tme.eu/Document/5f8ffc5ac30fc86bac97d66040bf5502/1n400x.pdf","","","",""
"J1","1","AVR-ISP-10","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","","",""
"J2","1","LOW OUT","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J3","1","MID OUT","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J4","1","HIGH OUT","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J5","1","COMMON OUT","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J6","1","COMMON IN","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J7","1","LINE IN","","Excluded from BOM","","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","~","","","",""
"J8","1","3.3V IN","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
